individualID,specimenID
R3111222,SM-CTEND
R8937093,SM-CJGNJ
R2649907,SM-CJEJA
R1822146,SM-CTDQQ
R4990009,SM-CJGGL
R4790045,SM-CTDSY
R3368249,SM-CJJ18
R5357999,SM-CJGIE
R7286984,SM-CJIZP
R3400726,SM-CJGH8
R2111091,SM-CJIYF
R5927382,SM-CJIXO
R3857927,SM-CTEDA
R5541746,SM-CTEN2
R6226355,SM-CJIY7
R8155560,SM-CJGJ5
R2079629,SM-CJFN9
R2212277,ROS21274866
R7881801,SM-CTEMS
R7911202,SM-CJIXJ
R9771008,SM-CJGI4
R5955028,SM-CTDS4
R8845676,SM-CTEN5
R5447358,SM-CTDU2
R1173111,SM-CTDV1
R5256488,SM-CTDT1
R2264515,SM-CTDTA
R1977848,SM-CJEFQ
R1218460,SM-CJFPF
R9976232,SM-CTDS5
R8444624,SM-CJEFV
R9489952,SM-CJK3I
R5211056,SM-CJGIH
R2006886,SM-CJK4R
R8553520,SM-CJJ1S
R1262106,SM-CTECF
R8882846,SM-CJK5C
R8963331,SM-CJEKL
R1042566,SM-CTEDG
R8044591,SM-CJEK6
R8759568,SM-CJFNK
R5334541,SM-CJFO7
R6820248,SM-CJK46
R6939144,SM-CJEIA
R3922205,SM-CJIZL
R5177066,SM-CJFN8
R3121235,MAP46246604
R2992930,SM-CJGJ8
R4470253,SM-CJEHP
R6604064,SM-CJK4I
R4276053,SM-CJGID
R4935546,SM-CJEKE
R2678902,SM-CJEIB
R9680160,SM-CJIXP
R2667630,SM-CTEDW
R9253870,SM-CJGHQ
R9817056,SM-CJIYV
R3874626,SM-CJFN5
R6698302,SM-CTDS6
R2880377,SM-CJGLH
R6887989,SM-CTECL
R8615683,SM-CJEJM
R6476704,SM-CTEFA
R5935442,SM-CJIY6
R6802400,MAP50108462
R3077672,SM-CJEIL
R2398607,MAP15387421
R1664857,SM-CJJ1C
R9309271,SM-CTEEF
R8209563,SM-CJFP4
R4581557,SM-CJGI8
R3884524,SM-CJEJJ
R7438391,SM-CTECQ
R2167020,SM-CTDT2
R5184427,SM-CJFOQ
R7915228,SM-CJEJO
R6879714,SM-CTEEU
R6108690,SM-CJGMZ
R5546461,SM-CJGLP
R3740754,SM-CJFO3
R6636386,SM-CTEMU
R1489314,SM-CJJ31
R7959406,SM-CTEDZ
R8781115,SM-CTEMW
R7551006,SM-CJGIS
R1547566,SM-CJJ34
R9566976,SM-CJGLM
R6292415,SM-CJEG3
R2881301,SM-CJEHU
R6319811,SM-CJEGA
R9064073,SM-CJGN2
R7366225,SM-CJFOI
R8608442,SM-CJJ35
R3927700,SM-CJJ32
R9393519,SM-CJFOF
R2166876,SM-CJFOP
R3201576,SM-CJEGB
R4937504,SM-CJGM3
R9905342,SM-CTDS7
R7993799,SM-CTEN7
R4240155,SM-CTED1
R8724814,SM-CJEIU
R2347173,SM-CJJ28
R9649089,SM-CJJ38
R7950545,SM-CJJ2G
R3341095,SM-CJGMQ
R5573393,SM-CJJ2D
R1327471,SM-CJJ2F
R9537646,SM-CJFNS
R1412995,SM-CJJ2H
R1627792,SM-CJEG9
R3727306,SM-CJJ23
R1609849,SM-CJJ27
R6913259,SM-CJJ2P
R8760165,SM-CJJ2B
R3863249,SM-CTDTO
R8410904,SM-CJGMH
R9557117,SM-CJEH3
R7015250,SM-CTECI
R3864948,SM-CJFNM
R9324027,SM-CJEG8
R2928383,SM-CJIZV
R9764427,SM-CTEG4
R8678748,SM-CTEGH
R9239503,SM-CTED2
R8477425,SM-CJK4A
R4956716,SM-CTECR
R7651923,SM-CTEEA
R3623803,SM-CTEGD
