,highly_variable,means,dispersions,dispersions_norm
PIK3R3,True,0.3973278327254936,1.2877436624191603,1.516581
TAL1,True,0.0335264902483038,1.5334564358044267,2.0995712
TRABD2B,True,0.0070104585721385,1.4140088688473917,1.8124572
SPATA6,True,0.7407656707141018,1.5721377357784294,1.7527978
ACOT11,True,0.4747191680439064,1.17754119742682,1.2406085
PLPP3,True,0.5929320774836981,1.8976072832669182,2.4560628
CYP2J2,True,0.15836536641279816,1.1965594314204728,1.2897779
C1orf87,True,0.014062375721949549,1.2306652358165546,1.3717574
NFIA,True,1.6430968764257414,2.368173924661539,1.4636543
ATG4C,True,0.7741884217465119,1.4141793932041187,1.4114861
ROR1,True,0.4827481242611113,1.693580327965492,2.5328906
CACHD1,True,0.5811308784548482,1.6435628075543107,1.9071311
GNG12-AS1,True,0.3445428473918601,1.3461739924948364,1.6629041
WLS,True,0.6716405425982644,1.3115585091094983,1.1897459
ST6GALNAC3,True,1.2711533068455574,2.3792969125345405,2.2142863
IFI44L,True,0.07491068479036489,2.2010084292195042,3.704154
IFI44,True,0.07196241755346129,1.3517888677487808,1.6629001
ADGRL4,True,0.1322634160994256,1.8483648317411614,2.8565109
CCN1,True,0.04122587266811438,1.2930037206019191,1.5215993
CLCA4,True,0.06748987618523992,1.4022068202979676,1.7840889
PKN2-AS1,True,0.6942480594811312,1.4215702185851826,1.427456
GBP1,True,0.01533492650736659,1.1876880749778167,1.268454
GBP2,True,0.035519676882636804,1.35498686828551,1.6705871
TGFBR3,True,0.35276343010741873,1.1891553222814513,1.2696929
ARHGAP29,True,0.326262341341411,1.4094629379896717,1.8213944
F3,True,0.28459661461472063,2.029111238128825,3.373138
CNN3,True,0.40942991875194457,1.2328671667484394,1.3791575
DPYD-AS1,True,0.2921486566882958,1.4248086257027706,1.8598236
FRRS1,True,0.016977736633546018,1.1926362448512386,1.2803477
CDC14A,True,0.29673956965730225,1.6167006287571315,2.340366
VCAM1,True,0.003543870303997715,2.337199223235278,4.0315137
S1PR1,True,0.051965813231934624,1.1849617734905387,1.2619008
NTNG1,True,0.8229972829750197,1.8796984158646473,2.417366
VAV3,True,0.41289253800241515,1.5969406058693565,2.290882
GPSM2,True,0.5038707693330129,1.1734199265449727,1.2302878
AHCYL1,True,0.88826235528073,2.0018252928391203,2.1193774
CD53,True,0.17748976422975352,1.4715315385651977,1.9507234
CHI3L2,True,0.007336580367558985,1.9869644992060291,3.1896605
TMIGD3,True,0.06630744590644214,1.5733830228741439,2.195542
ADORA3,True,0.025324898992349756,1.4677974008536794,1.9417478
SLC16A1,True,0.17584261426840864,1.5615687112033332,2.1671443
OLFML3,True,0.010662394295650465,1.4994608733800752,2.0178566
SYT6,True,0.058116671592165964,1.222162480271064,1.3513194
CD58,True,0.09657103060765804,1.3078700191690125,1.5573331
CD2,True,0.001907035308189709,2.20486354655126,3.7134206
TBX15,True,0.01004425504967865,1.576799333007519,2.2037537
PHGDH,True,0.11033644236064452,1.231541501852441,1.3738636
NOTCH2,True,0.34952921986191704,1.3082744912048763,1.567995
FCGR1B,True,0.025743891212382016,1.509731405495364,2.0425436
SRGAP2C,True,0.5188662423716345,1.3876210629499388,1.7666973
SRGAP2-AS1,True,0.05394816455861199,1.2125064893642739,1.3281095
SRGAP2B,True,0.5113392921121722,1.7949990758346892,2.7868667
TXNIP,True,0.4187363263843533,1.9646954421964136,3.2118258
GJA5,True,0.0016789032333547,1.5778380538293029,2.2062504
FCGR1A,True,0.03959553326626579,1.6582640306339345,2.399569
HIST2H2BF,True,0.052114748188313,1.5025314312464788,2.0252373
HIST2H2AA4,True,0.009704230742158006,1.971444836192756,3.1523561
HIST2H2BE,True,0.040007744571057505,1.2451445421186569,1.406561
CA14,True,0.01777447599323773,1.1661151303822261,1.2165995
TNFAIP8L2,True,0.004150917681497384,1.2047728463490441,1.3095202
S100A10,True,0.022348774032566285,1.43046634488755,1.8520157
S100A11,True,0.03178470533774264,1.6143392405503751,2.2939878
S100A9,True,0.01836529666669074,2.480165823685705,4.3751597
S100A12,True,0.0011604490098309388,1.2018543727993392,1.3025053
S100A8,True,0.015623620270367155,2.676940223610707,4.848143
S100A6,True,0.2551095399524812,1.1863545143711607,1.2652484
S100A4,True,0.00730845367569726,1.935485367547463,3.065921
S100A1,True,0.08873753936979181,1.1627469420195733,1.2085034
RPS27,True,0.8151834784885542,1.7003415921860658,2.0298169
KCNN3,True,0.5584987625819743,1.4442392700444657,1.9084824
C1orf61,True,0.7285645699102323,1.5310913058510707,1.6641059
HAPLN2,True,0.36192695300018385,1.6748781585303978,2.4860559
BCAN,True,0.3085543484248723,1.3906299783251002,1.7742323
PEAR1,True,0.006139133204785943,1.3213107668302564,1.5896404
FCRL5,True,0.0005419183804384712,1.302569675703537,1.5445927
FCRL3,True,0.00033111672517313547,1.2472548519560402,1.4116335
FCRL1,True,0.000499189841951473,1.3567432453404118,1.6748089
MNDA,True,0.03120032289095583,1.634437441898862,2.3422976
PYHIN1,True,0.0048792697852789646,1.6148938443521326,2.2953207
IFI16,True,0.270571430924613,1.7729053022586279,2.6751301
TAGLN2,True,0.035319940673010655,1.7019131958086453,2.5044878
KCNJ10,True,0.26606350239887705,1.3562903890751126,1.6737204
ATP1A2,True,0.8829837561462429,2.691822740736881,3.3992815
SLAMF6,True,0.002197802501798871,1.6917200442954146,2.4799867
CD84,True,0.06077982802579882,1.673623855511765,2.436489
SLAMF1,True,0.0008193608165221974,1.4542117834592823,1.9090922
CD48,True,0.0020621524329397668,1.3621587063672675,1.6878259
ARHGAP30,True,0.03822560511441439,1.3558458929538688,1.6726519
ADAMTS4,True,0.08916177800732612,1.4458771543437559,1.8890585
FCER1G,True,0.026320273009941775,1.4477461933976972,1.893551
FCGR2A,True,0.06848916846050394,1.8437377502440797,2.845389
HSPA6,True,0.025371065630244938,1.7669017210020297,2.6606996
FCGR3A,True,0.0761415438667135,1.9157887980519017,3.0185766
FCGR3B,True,0.0011577846714547015,1.5128106464673292,2.0499454
FCGR2B,True,0.0040861089182789865,1.349297492698415,1.6569116
